Id,SalePrice
1461,117546.832175112
1462,156200.710731727
1463,181936.178152904
1464,198069.307302381
1465,206689.014436802
1466,171169.397957838
1467,179654.088388461
1468,164029.598425644
1469,201655.660224788
1470,115939.602569735
1471,191865.723179044
1472,98978.5510045848
1473,97714.3507202431
1474,146003.287437595
1475,110244.568134286
1476,341656.419449405
1477,260002.909397543
1478,285931.719890333
1479,287523.07133883
1480,452827.739088572
1481,344751.174321985
1482,226226.915567014
1483,180621.457063003
1484,164089.919749554
1485,198498.55103882
1486,197753.493415338
1487,321944.882513167
1488,239279.54365035
1489,192510.319890807
1490,226396.640778153
1491,194604.539629158
1492,92616.9233307131
1493,195438.536049245
1494,296129.957514722
1495,295816.629296147
1496,230051.270878274
1497,178075.660022346
1498,164996.693471408
1499,161128.790208805
1500,154283.594924083
1501,174945.22696827
1502,151341.874501685
1503,279788.081540598
1504,244838.020115604
1505,229138.061618706
1506,194274.571907944
1507,240821.332335631
1508,201839.016932882
1509,159752.796428389
1510,145250.416243026
1511,147615.109866612
1512,174243.15665646
1513,146128.835019399
1514,156559.880499713
1515,194103.213340132
1516,156436.380797658
1517,176007.544232322
1518,133297.200600945
1519,211714.581160364
1520,127426.365110364
1521,132914.439644915
1522,177027.28745757
1523,109100.326596789
1524,125531.086726602
1525,117813.91122233
1526,117968.957774446
1527,111435.038204585
1528,139180.486846846
1529,147850.625304315
1530,182983.627078291
1531,110208.068580807
1532,100970.697947085
1533,144096.34417184
1534,127761.401222396
1535,149674.514170756
1536,111382.355084063
1537,64620.8060655666
1538,156134.879283787
1539,193559.282719126
1540,87768.0451416737
1541,141872.9051239
1542,138379.126448503
1543,176366.585244664
1544,86475.6798507706
1545,116739.541392054
1546,138193.309179509
1547,125963.839480081
1548,133129.074319741
1549,117824.758727189
1550,135217.274123558
1551,113792.266926715
1552,127502.66607939
1553,145496.088543311
1554,117453.393041924
1555,162654.038869895
1556,89785.5085258058
1557,107056.63344585
1558,102498.273874643
1559,82083.5095135328
1560,132037.46716023
1561,123110.703947602
1562,130785.419957225
1563,117755.143642206
1564,158497.702026468
1565,147515.929326666
1566,239525.029796389
1567,80204.2198304409
1568,232334.814466774
1569,124109.33693462
1570,142651.445497631
1571,129148.263540727
1572,138943.100965026
1573,224141.193883406
1574,116744.795672793
1575,227285.008875979
1576,257578.529585319
1577,178181.382123559
1578,149982.913921393
1579,148778.010607628
1580,196391.075721873
1581,158303.549138183
1582,123847.777480409
1583,298111.765568525
1584,215195.435265215
1585,139419.204420554
1586,68710.9298967095
1587,106380.871753062
1588,146237.632338612
1589,96813.5241240507
1590,134959.972275851
1591,93104.3705026226
1592,123708.677123084
1593,127090.651469008
1594,119785.073367157
1595,105759.002101537
1596,221989.454697533
1597,193858.080815552
1598,232515.682771633
1599,175210.816185208
1600,168546.144278744
1601,62287.454808173
1602,113113.658132735
1603,80202.0954229056
1604,258500.602498075
1605,251969.892310109
1606,172306.58964289
1607,180007.305071317
1608,218170.697362975
1609,183316.958331316
1610,152816.768785967
1611,147112.744780078
1612,166390.380615841
1613,167332.472311345
1614,121212.893825006
1615,91865.0394574717
1616,81525.1137188681
1617,94682.260979985
1618,123680.960396703
1619,138076.021343846
1620,152224.449565499
1621,140240.841400605
1622,138607.526246717
1623,261753.455543631
1624,219015.795931198
1625,120701.5246218
1626,176984.436160459
